timestamp,problem_size,instance_name,run_number,runs_per_instance,paradigm,solver,model,started_at,finished_at,elapsed_seconds,avg_ram_mb,max_ram_mb,cpu_percent,makespan,status,error
2026-05-14-20:21:15,j30,j3025_1,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T08:25:14,2026-05-15T08:25:19,5.040187,41.16,45.85,99.2,93,ok,
2026-05-14-20:21:15,j30,j3025_1,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T08:25:19,2026-05-15T08:45:19,1200.770435,348.00,376.42,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3025_1,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T08:45:19,2026-05-15T08:53:21,481.852529,153.11,163.09,99.7,93,ok,
2026-05-14-20:21:15,j30,j309_2,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T08:53:21,2026-05-15T09:13:22,1200.334331,169.52,241.16,99.6,101,ok,
2026-05-14-20:21:15,j30,j309_2,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T09:13:22,2026-05-15T09:33:22,1200.327280,69.00,74.29,99.7,,no_solution,
2026-05-14-20:21:15,j30,j309_2,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T09:33:22,2026-05-15T09:53:22,1200.410278,66.88,78.80,99.6,,no_solution,
2026-05-14-20:21:15,j30,j309_2,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T09:53:22,2026-05-15T10:13:22,1199.888834,364.56,377.72,99.7,,no_solution,
2026-05-14-20:21:15,j30,j309_2,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T10:13:22,2026-05-15T10:33:23,1200.365566,199.09,232.97,99.7,92,ok,
2026-05-14-20:21:15,j30,j3029_6,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T10:33:23,2026-05-15T10:53:23,1200.340675,189.31,229.49,99.6,93,ok,
2026-05-14-20:21:15,j30,j3029_6,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T10:53:23,2026-05-15T11:13:23,1200.329023,65.94,68.48,99.7,99,ok,
2026-05-14-20:21:15,j30,j3029_6,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T11:13:23,2026-05-15T11:33:24,1200.397910,75.89,92.36,99.6,,no_solution,
2026-05-14-20:21:15,j30,j3029_6,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T11:33:24,2026-05-15T11:53:24,1200.780639,394.62,421.94,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3029_6,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T11:53:24,2026-05-15T12:13:25,1200.363843,163.87,211.64,99.7,92,ok,
2026-05-14-20:21:15,j30,j3037_7,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T12:13:25,2026-05-15T12:13:25,0.594917,19.43,33.34,96.2,92,ok,
2026-05-14-20:21:15,j30,j3037_7,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T12:13:25,2026-05-15T12:33:26,1200.325287,65.40,69.35,99.7,97,ok,
2026-05-14-20:21:15,j30,j3037_7,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T12:33:26,2026-05-15T12:33:29,3.645241,36.11,40.57,99.0,92,ok,
2026-05-14-20:21:15,j30,j3037_7,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T12:33:29,2026-05-15T12:53:31,1201.120522,349.75,383.30,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3037_7,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T12:53:31,2026-05-15T12:54:33,62.428760,122.63,145.75,99.6,92,ok,
2026-05-14-20:21:15,j30,j3041_7,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T12:54:33,2026-05-15T12:54:35,1.641127,31.26,38.14,98.5,92,ok,
2026-05-14-20:21:15,j30,j3041_7,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T12:54:35,2026-05-15T13:14:35,1200.326409,61.12,61.60,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3041_7,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T13:14:35,2026-05-15T13:14:36,0.598668,20.25,40.98,95.6,92,ok,
2026-05-14-20:21:15,j30,j3041_7,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T13:14:36,2026-05-15T13:34:35,1199.224958,317.39,344.70,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3041_7,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T13:34:35,2026-05-15T13:36:09,94.682428,130.87,148.33,99.6,92,ok,
2026-05-14-20:21:15,j30,j3041_9,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T13:36:09,2026-05-15T13:36:10,0.588404,18.11,25.30,94.0,92,ok,
2026-05-14-20:21:15,j30,j3041_9,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T13:36:10,2026-05-15T13:56:10,1200.328661,63.14,67.34,99.7,92,ok,
2026-05-14-20:21:15,j30,j3041_9,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T13:56:10,2026-05-15T13:56:11,0.693443,24.18,39.25,96.6,92,ok,
2026-05-14-20:21:15,j30,j3041_9,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T13:56:11,2026-05-15T14:16:04,1192.805913,483.97,515.19,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3041_9,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T14:16:04,2026-05-15T14:17:02,58.277075,142.27,160.29,99.6,92,ok,
2026-05-14-20:21:15,j30,j3045_3,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-15T14:17:02,2026-05-15T14:17:03,0.624670,19.63,35.10,95.1,92,ok,
2026-05-14-20:21:15,j30,j3045_3,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-15T14:17:03,2026-05-15T14:37:03,1200.330266,70.29,75.41,99.7,98,ok,
2026-05-14-20:21:15,j30,j3045_3,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-15T14:37:03,2026-05-15T14:37:04,1.085193,30.09,40.39,97.0,92,ok,
2026-05-14-20:21:15,j30,j3045_3,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-15T14:37:04,2026-05-15T14:57:08,1204.106760,495.49,532.13,99.7,112,ok,
2026-05-14-20:21:15,j30,j3045_3,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-15T14:57:08,2026-05-15T14:58:53,105.059979,153.71,165.98,99.6,92,ok,
